jcr:path,jcr:content/metadata/dc:title
String,String
/content/dam/dampy/test/new_samples/activities/biking/cycling_1.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/biking/cycling_5.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/biking/cycling_2.jpg,Title Missing
/content/dam/dampy/test/new_samples/Shorts_men.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/hiking/hiking_1.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/biking/mountain-biking.jpg,Mountain Biking
/content/dam/dampy/test/new_samples/activities/biking/group-mountain-bikers.jpg,Group Mountain Bikers
/content/dam/dampy/test/new_samples/activities/biking/rocks-downhill.jpg,Rocks Downhill
/content/dam/dampy/test/new_samples/activities/biking/forest-trail.jpg,Forest Trail
/content/dam/dampy/test/new_samples/activities/biking/enduro-trail-jump.jpg,Enduro Trail Jump
/content/dam/dampy/test/new_samples/activities/climbing/kalymnos-island-male.jpg,Kalymnos Island Male
/content/dam/dampy/test/new_samples/activities/climbing/ice-climbing-group.jpg,Ice Climbing Group
/content/dam/dampy/test/new_samples/activities/climbing/climber-gear-outdoor.jpg,Climber Gear Outdoor
/content/dam/dampy/test/new_samples/activities/climbing/kalymnos-island-female.jpg,Kalymnos Island Female
/content/dam/dampy/test/new_samples/activities/climbing/climber-gear-indoor.jpg,Climber Gear Indoor
/content/dam/dampy/test/new_samples/activities/climbing/climber-gear-rope.jpg,Climber Gear Rope
/content/dam/dampy/test/new_samples/activities/climbing/indoor-practicing.jpg,Indoor Practicing
/content/dam/dampy/test/new_samples/activities/hiking-camping/alpinists-rochefort-ridge.jpg,Alpinists Rochefort Ridge
/content/dam/dampy/test/new_samples/activities/hiking-camping/hiker-anapurna.jpg,Hiker Anapurna
/content/dam/dampy/test/new_samples/activities/hiking-camping/trekker-ama-dablam.jpg,Trekker Ama Dablam
/content/dam/dampy/test/new_samples/activities/hiking-camping/Hiking-Campaign-Male.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/hiking-camping/camp-summer-night.jpg,Camp Summer Night
/content/dam/dampy/test/new_samples/activities/hiking-camping/trekker-khumbu-valley.jpg,Trekker Khumbu Valley
/content/dam/dampy/test/new_samples/activities/hiking-camping/Hiking-Campaign.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/hiking-camping/hiker-himalayas.jpg,Hiker Himalayas
/content/dam/dampy/test/new_samples/activities/hiking-camping/alpinists-himalayas.jpg,Alpinists Himalayas
/content/dam/dampy/test/new_samples/activities/hiking/hiking_4.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/hiking/hiking_2.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/hiking/hiking_3.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/running/marathon-shoes.jpg,Marathon Shoes
/content/dam/dampy/test/new_samples/activities/running/fitness-woman.jpg,Fitness Woman
/content/dam/dampy/test/new_samples/activities/running/running-desert-woman.jpg,Running Desert Woman
/content/dam/dampy/test/new_samples/activities/running/running-couple-mountain.jpg,Running Couple Mountain
/content/dam/dampy/test/new_samples/activities/running/running-woods-woman.jpg,Running Woods Woman
/content/dam/dampy/test/new_samples/activities/running/running-trail-man.jpg,Running Trail Man
/content/dam/dampy/test/new_samples/activities/running/running_4.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/running/running_1.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/running/running_3.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/running/running_2.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/running/running_5.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/skiing/freeride.jpg,Freeride
/content/dam/dampy/test/new_samples/activities/skiing/skiing-male-winter.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/skiing/freeride-siberia.jpg,Freeride Siberia
/content/dam/dampy/test/new_samples/activities/skiing/ski touring.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/skiing/climber-ferrata-la-torre-di-toblin.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/skiing/ice-climbing.jpg,Ice Climbing
/content/dam/dampy/test/new_samples/activities/skiing/freeride-extreme.jpg,Freeride Extreme
/content/dam/dampy/test/new_samples/activities/skiing/skiing-winter.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/skiing/freeride-steep.jpg,Freeride Steep
/content/dam/dampy/test/new_samples/activities/snowboarding/man-snowboarder.jpg,Man Snowboarder
/content/dam/dampy/test/new_samples/activities/snowboarding/extreme-championship-girls.jpg,Extreme Championship Girls
/content/dam/dampy/test/new_samples/activities/snowboarding/freeride-downhill.jpg,Freeride Downhill
/content/dam/dampy/test/new_samples/activities/surfing/beach-walking.jpg,Beach Walking
/content/dam/dampy/test/new_samples/activities/surfing/man-wetsuit.jpg,Man Wetsuit
/content/dam/dampy/test/new_samples/activities/surfing/surfing_5.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/surfing/wave-nicaragua.jpg,Wave Nicaragua
/content/dam/dampy/test/new_samples/activities/surfing/surfing_2.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/skiing/skiing_2.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/skiing/touring.jpg,Touring
/content/dam/dampy/test/new_samples/activities/skiing/skiing_1.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/skiing/woman-winter.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/water-sports/swimming_2.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/water-sports/swimming_3.jpg,Title Missing
/content/dam/dampy/test/new_samples/activities/water-sports/swimming_1.jpg,Title Missing
